fname,rname,avail,maxLimit,price
Spicy stir fried octopus,Tommy's Sub Shop,100,100,9.5
Pozole,White Manna Hamburgers,90,90,3.5
Banh xeo,D'Angelo Grilled Sandwiches,60,60,9.5
Sour soup,Jason's Deli,50,50,4.5
Polenta,Subway Citgo of Quarryville,70,70,8.5
Ossobuco,SUBWAY®,110,110,3.5
Beef soup,Papa John’s Pizza,60,60,7.5
Natto,Hotdoks,40,40,9.5
Tamales,Smashburger,30,30,10.5
Cha ca,Ball State Lafollette Dining,50,50,3.5
Pozole,P. Terry's,60,60,5.0
Kimchi,In-A-Tub,70,70,8.5
Macaroni and Cheese,Lenny's Sub Shop,60,60,4.5
Guacamole,Flip Burger Bar,50,50,8.5
Nasi goreng,Bad Daddys Burger Bar,60,60,7.5
Chicken tikka masala,Dairy Cheer,100,100,9.5
Dim sum,Bills Place,30,30,11.5
Curry fish head,Taco Bueno,20,20,8.0
Sour soup,DQ Grill & Chill / Orange Julius,30,30,6.0
Doughnut,Long John Silver's,110,110,8.5
Sundubu jjigae,Tellers Tap Room & Kitchen,90,90,10.5
Samgyeopsal,Ernie's All American Burger,50,50,10.5
Fried carrot cake,Fazoli's,50,50,9.0
Tandoori chicken,Cook Out,40,40,11.5
Samgyeopsal,Moe's Original Bar B Que,100,100,10.5
Tamales,Burger King,20,20,4.5
Doughnut,Lenny's Sub Shop,90,90,8.5
Chicken wings,Kum & Go,90,90,7.0
Chicken rice,Dual - Carls / Grn Burrito 1100654,70,70,3.0
Naan,Windmill Gourmet Fast Foods,20,20,9.5
Ribollita,Fallguys Burger Company,60,60,9.0
Stir fried tofu with rice,Hot Dog Heaven,70,70,11.0
Palak paneer,Little Caesars Pizza,70,70,8.0
Green curry chicken,The Pizza Pipe Line,110,110,6.0
Chicken tikka masala,BLIMPIE,50,50,3.5
Sate,Coop DeVille,40,40,5.5
Gado gado,Penguin Point,110,110,7.5
Vegetable fried rice,Pizza Hut Wingstreet,70,70,9.0
Sundubu jjigae,Little Caesar's Pizza Smithfield,40,40,9.0
Ossobuco,Paesano's,100,100,12.0
Udon,Original Tracks,110,110,5.5
Bibimbap,Zaxby's,70,70,3.0
Tamales,L&l Hawaiian Barbecue,70,70,10.5
Tom yum goong,Ziti's Italian Express,80,80,3.5
Macaroni and Cheese,Subway Sandwiches,70,70,6.5
Nasi goreng,Rich's Mighty Fine Burgers Grub,40,40,10.0
Chicken rice,Woody's Sloppy Dogs,100,100,9.5
Elote,Chick-fil-A,20,20,4.5
Rau muong,Bobby's Burger Palace,30,30,6.0
Chicken tikka masala,KFC / Taco Bell,110,110,7.5
Naan,Checker's Drive-in Restaurant,50,50,10.0
Ossobuco,Thrasher's French Fries,80,80,3.5
Sashimi,Whataburger,60,60,11.5
Guacamole,Jim Bob's Chicken Fingers,30,30,7.0
Ramyeon,Popeye's Chicken,80,80,4.5
Lasagna,Cusinera,20,20,9.5
Bakso,Frisch's Big Boy,60,60,4.5
Chiles en nogada,Cafe Rio,110,110,5.0
Paratha,Blakes Lotaburger,100,100,6.0
Samgyeopsal,Dairy Freeze,80,80,12.0
Thai hanglay curry,Krystal,80,80,7.0
Spring rolls,Charley's Grilled Subs,40,40,11.5
Chiles en nogada,Alice's,50,50,8.0
Chicken tikka masala,Your Healthy Habit,20,20,7.0
Spaghetti Aglio Olio,Popeye's Chicken & Biscuits,70,70,9.0
Banh xeo,A&W,20,20,12.0
Gado gado,Arbys,20,20,12.0
Hokkien prawn mee,SONIC Drive-In,40,40,10.5
Cao lau,7-Eleven,20,20,6.5
Ayam penyet,Charcoal Delights,110,110,9.0
Ayam goreng,Greek Oven Pizza and Wings,40,40,5.0
Isaan soup,Crystal Restaurant,100,100,9.5
Bottarga,Capt Crab's Take-Away,50,50,8.5
Bakso,Lukes on Harlem,20,20,10.5
Kaya toast,Charcoal Delights,70,70,3.0
Sour soup,Carls Jr. / Green Burrito,20,20,7.5
Ayam penyet,Scoopers,40,40,7.5
Pork bulgogi,A&w Restaurant,110,110,12.0
Cantonese chicken soup,Arbys,70,70,8.0
French fries,Carl's Jr.,20,20,12.0
Boiled vegetable soup,Home Town Buffet,110,110,9.5
Kimchi,Eldon Drive In,100,100,9.0
Gogigui,Petro's Chili & Chips,20,20,10.5
Beef rendang,Long John Silver's / A&W,90,90,8.5
Mole,Kfc - Kentucky Fried Chicken,110,110,7.0
Paratha,Little Caesar's Pizza Smithfield,100,100,9.5
French fries,Costa Vida,100,100,5.0
Spaghetti Bolognese,KFC / Taco Bell,70,70,6.0
Doughnut,Eldon Drive In,70,70,8.5
Laksa,Kennedy Fried Chicken & Pizza,30,30,4.5
Chicken galangal soup,Farmer Boys,20,20,7.0
Ramyeon,Zaxby's,60,60,11.5
Macaroni and Cheese,Costa Vida,90,90,6.0
Vegetable fried rice,Elevation Burger,80,80,4.0
Enchiladas,The Honeybaked Ham Company,80,80,9.5
Coconut milk curry,Pizza Barn,60,60,8.0
Hash browns,World Wrapps,90,90,8.0
Sichuan pork,Crystal Restaurant,30,30,11.5
Sundubu jjigae,White Castle,40,40,10.5
Ga tan,Cusinera,110,110,10.5
Ossobuco,Meatheads,100,100,4.0
Paratha,Famous Dave's,30,30,9.0
Banh khot,Flash Foods / McDonald's,40,40,9.5
Papdi chaat,Rubio's Coastal Grill,30,30,8.5
Chilaquiles,Five Guys,60,60,12.0
Cao lau,Travelcenters of America,30,30,5.0
Ribollita,Convergence Zone,50,50,7.0
Cha ca,Charleys Philly Steaks,30,30,8.5
Hokkien prawn mee,Pal's Sudden Service,100,100,9.5
Murg makhani,Long John Silver's,60,60,5.5
Coconut milk curry,King Grill,70,70,4.0
Thai hanglay curry,Mcdonald's #25557,90,90,10.5
Yakitori,Kennedy Fried Chicken & Pizza,30,30,5.0
Tostadas,McDonald’s,80,80,11.5
Cha ca,Subway - Bell's Ferry,90,90,6.0
Sashimi,Sbarro,100,100,9.0
Cheeseburger,El Paragua Restaurant,100,100,6.5
Kaya toast,Buds Chicken & Seafood,30,30,3.5
Papdi chaat,Popeyes Chicken & Biscuits,40,40,4.5
Tacos al pastor,Dino's Gyros,20,20,7.5
Murg makhani,Nick's Burgers,80,80,9.0
Soto,Tropical Smoothie Cafe,30,30,5.0
Risotto,Travelcenters of America,110,110,9.5
Sashimi,Subway - Bell's Ferry,40,40,12.0
Ramen,KFC/Taco Bell,20,20,9.0
Yakitori,Roly Poly,90,90,4.5
Samgyeopsal,Buds Chicken & Seafood,70,70,3.0
Chicken tikka masala,Mayfair Boardwalk Grill,70,70,11.0
Mole,Little Caesars Pizza,40,40,6.5
Naan,Steak 'n Shake,40,40,11.5
Natto,Garden Catering,40,40,3.0
Beef soup,KFC,110,110,3.5
Lasagna,Kam's Chop Suey,70,70,4.5
Ossobuco,Jollibee,70,70,6.5
Stir fried tofu with rice,Sonic,60,60,9.5
Chilaquiles,Cook Out,50,50,9.0
Fish stew,Auntie Anne's,50,50,8.5
Beef rendang,Garden Catering,50,50,9.5
Hash browns,Qdoba Mexican Eats,70,70,3.0
Vegetable fried rice,Vista Drive In,60,60,7.0
Ossobuco,Blondies,90,90,10.0
Hash browns,Mariu Kebabberia Gastronomica,90,90,5.5
Oyster omelette,J J Fish and Chicken,70,70,5.5
Bibimbap,Spangles,50,50,11.0
Bottarga,In-N-Out Burger,60,60,3.5
Bibimbap,Subway - Bell's Ferry,80,80,8.5
Laksa,Luby's,20,20,9.5
Donburi,D'Angelo Grilled Sandwiches,70,70,11.0
Donburi,Baskin-Robbins,40,40,3.5
Wanton mee,Taco Bell/Pizza Hut Express,50,50,5.5
Coconut milk curry,Chick-fil-a,60,60,11.0
Curry fish head,Blimpie,30,30,4.5
Sundubu jjigae,Johnny Rockets,80,80,5.0
Spaghetti Carbonara,A&W All-American Foods,60,60,10.0
Noodles,The Press Club,40,40,3.0
Spicy stir fried octopus,Hot Dog Heaven,80,80,9.5
Spring rolls,Pizza Express,80,80,11.0
Spring rolls,Dunkin Donuts,20,20,5.0
Tempura,The Pizza Pipe Line,110,110,8.0
Ga tan,A & W Family Restaurant,40,40,9.5
Murg makhani,Mr. Hero,20,20,5.5
Bibimbap,Topper's Pizza,90,90,7.0
Banh khot,Raising Cane's Chicken Fingers,60,60,5.5
Macaroni and Cheese,China Buddha Inn II,70,70,6.5
Hokkien prawn mee,Furr's,70,70,7.0
Stir fried tofu with rice,Cypress Best,30,30,5.0
Nasi goreng,Wendy's,50,50,9.5
Tostadas,Baker's Drive Thru,100,100,5.0
Spicy stir fried octopus,McDonald's of Mililani Mauka,60,60,3.0
Macaroni and Cheese,Sonic Drive-in (trailer),60,60,9.0
Rau muong,Northeastern State University,40,40,8.0
Tandoori chicken,Hot Dog Heaven,110,110,3.5
Chicken rice,Steak 'n Shake,70,70,6.5
Laksa,A&W Restaurant,60,60,11.5
Spicy stir fried octopus,Wetzel's Pretzels,40,40,5.0
Sushi,Sensenig Poultry LLC,70,70,9.0
Noodles,Taco Cabana,60,60,3.0
Ramen,Car's Late Night Delivery,20,20,10.0
Tempura,Jimmy John's,40,40,7.5
Fried carrot cake,Frugals,40,40,8.0
Guacamole,Rafael's,30,30,4.5
Gogigui,Spangles,40,40,8.0
Pork bulgogi,Coop DeVille,60,60,10.0
Ramyeon,LocoL,60,60,7.5
Steak,BGR - The Burger Joint,30,30,8.0
Tostadas,JCW's,50,50,5.5
Chiles en nogada,Braum's Ice Cream & Dairy Store,50,50,9.0
Tandoori chicken,George's Gyros Spot,60,60,10.0
Cha ca,Dairy Cheer,70,70,12.0
Ayam penyet,Hermosa,100,100,3.0
Doughnut,Wings N' More Wings,90,90,11.0
Polenta,Dairy Queen,110,110,10.0
Ramen,Flash Foods / McDonald's,90,90,4.0
Kimchi,Wendys,40,40,4.5
Oyster omelette,Gold Star Chili,110,110,3.0
Ayam penyet,AJ's Hotdogs & Gyros,40,40,10.5
Bak kut teh,KFC / A&W,70,70,9.5
Bottarga,Schlotzsky's,90,90,9.5
Bak kut teh,Steak 'n Shake,20,20,5.5
Chiles en nogada,Dairy Queen Grill & Chill / Orange Julius,50,50,8.5
Banh khot,KFC,90,90,6.0
Bun bo hue,A&W All-American Foods,20,20,10.0
Chiles en nogada,Fosters Freeze,80,80,9.5
Sichuan pork,Nielsen's Frozen Custard,60,60,7.0
Udon,Furr's,30,30,7.0
Coconut milk curry,Kum Go,20,20,4.5
Spring rolls,The Flame Broiler,30,30,10.0
Rawon,L&L Hawaiian Barbecue,40,40,7.0
Bak kut teh,SONIC Drive-In,80,80,12.0
Chilaquiles,Fazoli's,100,100,7.5
Beef rendang,The Flame Broiler,20,20,12.0
Pizza,Mr Hero,40,40,7.0
Tostadas,Sarku Japan,80,80,9.0
Isaan soup,Chester's Grill,50,50,8.0
Banh xeo,Blimpie,90,90,4.0
Laksa,George's Gyros Spot,60,60,5.0
Sour soup,Denton's,80,80,3.0
Ga tan,Papa John’s Pizza,80,80,8.0
Green curry chicken,Wetzel's Pretzels,50,50,7.5
Tom yum goong,Back Yard Burgers,60,60,3.5
Sashimi,Thunder Ridge Ampride,20,20,12.0
Spaghetti Carbonara,Hot Dog on a Stick,30,30,11.5
Hot and sour soup,Taco Delight,90,90,10.0
Cao lau,Rubio's Coastal Grill,70,70,5.5
Chicken galangal soup,Denton's,50,50,4.0
Guacamole,Wingstop,40,40,3.0
Goi cuon,Smashburger,50,50,7.0
Tofu,The Halal Guys,50,50,11.5
Palak paneer,Hermosa,60,60,12.0
Fish kidney curry,Ziti's Italian Express,80,80,5.5
Chole,Great Steak And Potato Co,70,70,8.5
Mole,Burgerville,40,40,11.0
Korma,Foster's Freeze,50,50,3.0
Ossobuco,Twisters,40,40,3.0
Chicken galangal soup,Mariu Kebabberia Gastronomica,30,30,5.0
Noodles,Wendy's,50,50,8.0
Rawon,Charleys Philly Steaks,20,20,7.0
Bottarga,Lee's Oriental Martial Arts,50,50,3.0
Sushi,Lion's Choice,70,70,9.0
Beef soup,Hot Dog Heaven,40,40,5.5
Hash browns,Famous Dave's,100,100,4.5
Cao lau,Boston Market,80,80,9.0
Ga tan,Papa John's,70,70,4.5
Elote,Tina's Carryout Restaurant,70,70,8.5
Curry fish head,Hunam Garden,40,40,7.0
Green curry chicken,The Biscuit Factory,100,100,3.5
Kimchi,El Paragua Restaurant,60,60,12.0
Donburi,Exxon,30,30,5.0
Donburi,World Wrapps,20,20,9.5
Apple pie,Sarku Japan,90,90,3.0
Banh khot,Waffle House,110,110,7.0
Cheeseburger,McDonalds @ Old Atlanta,100,100,8.5
Sour soup,Furr's,100,100,11.0
Goi cuon,Carl's Jr,100,100,11.0
Pho,Tudor's Biscuit World,90,90,9.0
Spicy stir fried octopus,Cinnabon,110,110,12.0
Tofu,Del Taco,40,40,10.5
Bak kut teh,Circle Drive In,40,40,11.5
Bakso,Rubio's Coastal Grill,50,50,3.0
Doughnut,Scoopers,80,80,9.0
Macaroni and Cheese,Culvers,70,70,5.0
Beef rendang,Cook-Out,90,90,11.0
Cheeseburger,Papagus Gyros,80,80,6.5
Tofu,El Paragua Restaurant,40,40,12.0
Bhajji,Pizza Factory,30,30,3.5
Goi cuon,Braum's,30,30,11.5
Bibimbap,A&W All-American Foods,20,20,10.5
Isaan soup,The Biscuit Factory,40,40,11.0
Banh khot,Qdoba Mexican Grill,90,90,5.5
Pizza,Raising Cane's,70,70,6.0
Chicken tikka masala,Windmill Gourmet Fast Foods,30,30,10.5
Tamales,Bojangles' Famous Chicken 'n Biscuits,60,60,11.5
Boiled vegetable soup,Yellow Cab Pizza Co.,90,90,12.0
Murg makhani,Culvers,80,80,4.5
Murg makhani,Five Guys,90,90,12.0
Chicken with chestnuts,Five Guys,20,20,9.5
Fried chicken,Pizza Barn,60,60,8.5
Sate,Frugals,30,30,4.0
Hash browns,Fazoli's,40,40,11.5
Pho,Cinnabon,100,100,11.0
Ossobuco,Subway Guitars,90,90,10.0
Nem ran,Sunrise Cafe,80,80,9.0
Nasi goreng,Los Verdes,80,80,11.5
Wanton mee,Dairy Queen - Round Rock,50,50,9.0
Noodles,Dairy Cheer,30,30,10.0
Pork bulgogi,Travelcenters of America,100,100,6.0
Beef soup,Exxon,80,80,3.5
Green curry chicken,Pizza Hut Wingstreet,60,60,6.5
Nasi goreng,Hub City Express,40,40,7.0
Pizza,Nathan's Famous,90,90,11.5
Tom yum goong,Fred's Store,70,70,3.5
Cantonese chicken soup,Mayfair Boardwalk Grill,110,110,6.0
Wanton mee,Qdoba Mexican Grill,30,30,3.0
Rawon,Nino's Pizza,50,50,10.0
Vegetable fried rice,Jack In The Box,100,100,5.0
Boiled vegetable soup,Pizza Hut Wingstreet,50,50,5.0
Gogigui,Mr. Hero,20,20,8.5
Banh khot,Sonic Drive-in (trailer),60,60,7.5
Chilaquiles,Gyros Kings,70,70,9.0
Tofu,DQ Woodlands,40,40,8.0
Fish kidney curry,Frugal's,100,100,5.0
Cheeseburger,Fazoli's,90,90,4.5
Guacamole,Bush's Chicken,90,90,11.5
Sour soup,Pizza Hut Wingstreet,100,100,9.5
Donburi,Burgerville,80,80,3.0
Steak,Jimmy John's,100,100,5.0
Oyster omelette,Au Bon Pain,60,60,5.0
Paratha,Charlie's Chicken,20,20,11.0
Apple pie,Tudor's Biscuit World,70,70,4.5
Polenta,Shoney's on the Go,20,20,10.0
Bhajji,Fresh City,100,100,4.5
Tom yum goong,Moe's Original Bar B Que,90,90,3.5
Pozole,The Honeybaked Ham Company,60,60,8.0
Wanton mee,Starbucks,70,70,10.5
Rujak cingur,Wendy's,80,80,3.0
Pozole,Carl's / Green Burrito,60,60,5.0
Sundubu jjigae,The Flame Broiler,20,20,9.5
Spring rolls,Chick-fil-a Magnolia Mall,60,60,3.0
Natto,Chick-fil-A,60,60,6.0
Naan,Quick,40,40,3.0
Fried chicken,Taco Bell,80,80,7.0
Spicy stir fried octopus,Snack Shack,60,60,3.5
Kimchi stew,Pick Up Stix,100,100,10.5
Pizza,Siam To Go,70,70,7.5
Donburi,Quick,40,40,3.5
Thai hanglay curry,Checker's Drive-in Restaurant,100,100,4.5
Spring rolls,Soulfish Grill,80,80,11.0
Bibimbap,Circle Drive In,50,50,7.0
Pozole,Lee's Famous Recipe Chicken,40,40,10.5
Cao lau,Hardee's / Red Burrito,50,50,3.0
Ga tan,Jimmy Johns,70,70,4.0
Fried carrot cake,Jason's Deli,50,50,6.5
Banh xeo,Brixton's,90,90,9.5
Spaghetti Aglio Olio,KFC,110,110,7.0
Rawon,Johnny Rockets,100,100,4.5
Spaghetti Aglio Olio,Jim's Coney Island,60,60,3.0
Spaghetti Bolognese,Zaxby's,80,80,5.0
Ayam penyet,City Bites,70,70,4.5
Bibimbap,Islands Restaurant,30,30,7.5
Green curry chicken,Ama Ristorante,30,30,11.5
Murg makhani,Backyard Burgers,100,100,6.0
Chicken galangal soup,Brixton's,50,50,4.5
Yakitori,Jamba Juice,100,100,4.5
Fish kidney curry,Chick-fil-a,70,70,6.5
Beef rendang,KFC / Taco Bell,70,70,7.5
Yakitori,Steak Escape,110,110,12.0
Chicken with chestnuts,Chicken House,60,60,10.0
Paratha,Hot Dog Heaven,90,90,9.5
Curry fish head,Hardees,90,90,4.0
Steak,Iceberg Drive Inn,30,30,3.0
Pozole,Mcdonald's - Walmart,40,40,11.0
Chicken with chestnuts,Captain D's Seafood,50,50,4.5
Pho,Culvers,30,30,9.0
Boiled vegetable soup,Rocky's,20,20,10.0
Chicken galangal soup,Taco Del Mar,20,20,3.5
Ramen,Del Taco,90,90,4.0
Banh xeo,The Biscuit Factory,70,70,7.0
Apple pie,Bojangles' Famous Chicken 'n Biscuits,80,80,5.0
Vegetable fried rice,Popeye's,60,60,3.5
Bakso,Eldon Drive In,20,20,4.0
Banh khot,Johnny Rockets,40,40,8.5
Ayam goreng,Wetzel's Pretzels,70,70,10.0
Kaya toast,Amigos/Kings Classic,70,70,11.5
Bibimbap,Pollo Campero,50,50,11.5
Gado gado,Steak-out,60,60,6.0
Boiled vegetable soup,Circle Drive In,70,70,5.5
Chicken galangal soup,Shoney's on the Go,60,60,9.5
Sushi,Boston Market,100,100,12.0
Banh xeo,Mazatlan Mexican Restaurant,50,50,3.0
Curry fish head,Jack in the Box,40,40,3.5
Rawon,Convergence Zone,40,40,7.5
Chicken galangal soup,Strongwater Spirits & Botanicals,60,60,7.5
Laksa,Gyros Kings,80,80,9.0
Sour soup,Pete's Burgers,50,50,3.0
Donburi,Aprisa Mexican Cuisine,40,40,4.5
Rau muong,Don & Millie's,110,110,11.5
Sundubu jjigae,Long John Silvers,110,110,6.5
Pozole,Jack in the Box,60,60,3.5
Ramyeon,Omelette House,20,20,8.5
Tom yum goong,Wings N' More Wings,40,40,5.0
Hash browns,Papagus Gyros,60,60,11.0
Chicken rice,Red Robin Gourmet Burgers,60,60,7.0
Risotto,7-11,40,40,8.0
Yakitori,QDOBA Mexican Eats,40,40,8.5
Kimchi stew,Yellow Cab Pizza Co.,80,80,7.0
French fries,Bob Evans,50,50,10.0
Oyster omelette,Carl's Jr / Green Burrito,110,110,5.0
Tamales,Shloma Inc,80,80,4.0
Chiles en nogada,Panda,90,90,8.5
Ayam goreng,Jimmy Johns,40,40,6.0
Rujak cingur,BLIMPIE,80,80,11.5
Laksa,Smashburger,90,90,4.5
Murg makhani,The Great Steak & Potato Co.,90,90,11.0
Tofu,KFC,20,20,6.0
Isaan soup,Penguin Point,110,110,6.0
Goi cuon,Kam's Chop Suey,30,30,11.5
Ossobuco,Dan's Seafood & Chicken,90,90,5.0
Rujak cingur,Nick's Gyros,50,50,11.5
Tempura,A&W/Long John Silvers,90,90,12.0
Natto,Burgerville,30,30,7.0
Goi cuon,Red Robin Gourmet Burgers,40,40,6.0
Pho,Cousins Subs of Green Bay - Oneida St. & Ramada Way,80,80,9.0
Fried carrot cake,Seaside Eatery,40,40,7.5
Bibimbap,Tudor's Biscuit World,70,70,5.0
Gogigui,Papa John's,70,70,6.5
Chicken galangal soup,McDonald's of Mililani Mauka,30,30,6.0
Beef rendang,Circle Drive In,90,90,10.0
Pork bulgogi,Wendys,70,70,11.0
Cantonese chicken soup,Windmill Gourmet Fast Foods,110,110,6.5
Banh khot,Rocky's,90,90,8.0
Pho,Captain D's,90,90,6.5
Gado gado,Kenny's Drive-In,70,70,11.0
Goi cuon,Lee's Famous Recipe Chicken,100,100,6.0
Steak,Gold Star Chili,60,60,10.5
Ramyeon,Rally's Springfield,50,50,12.0
Pork bulgogi,Alice's,50,50,7.0
Tempura,J J Fish and Chicken,50,50,8.0
Chicken rice,KFC / Taco Bell,100,100,8.0
Gogigui,Dairy Queen - Round Rock,110,110,4.0
Beef rendang,Popeye's Louisiana Kitchen,60,60,6.0
Kaya toast,Original Tracks,50,50,3.0
Isaan soup,Bush's Chicken,100,100,7.5
Apple pie,Ziti's Italian Express,110,110,9.0
Fried carrot cake,Tom & Jerry's,40,40,6.5
Donburi,Papa John's,90,90,7.0
Spicy stir fried octopus,Nick's Burgers,70,70,6.5
Bibimbap,Boston Market,60,60,11.5
Banh xeo,The People Connection,40,40,5.0
Tofu,SONIC Drive In,40,40,4.0
Chicken rice,B Z Breakfast Burgers Beyond,100,100,9.0
Guacamole,Garden Catering,50,50,10.0
Chilaquiles,Checker's,30,30,4.0
Paratha,Nathan's Famous,60,60,3.5
Lasagna,Nielsen's Frozen Custard,100,100,4.5
Nem ran,Hub City Express,70,70,12.0
Beef rendang,Great Steak,30,30,5.5
Banh xeo,Seaside Eatery,80,80,8.0
Hot and sour soup,Ball State Lafollette Dining,100,100,4.0
Samgyeopsal,Burger's Landing,70,70,10.0
Rau muong,Zaxby's,80,80,11.5
Chiles en nogada,Mickey's Gyros & Ribs,110,110,3.0
Chicken tikka masala,Hungry Andy's,110,110,5.5
Noodles,Bush's Chicken,30,30,3.0
Pozole,Costa Vida,50,50,12.0
Tamales,Fallguys Burger Company,60,60,4.0
Bhajji,Auntie Anne's,20,20,3.5
Ribollita,Jacks Grocery,100,100,7.5
Ayam penyet,Sonic Drive in,40,40,7.0
Spaghetti Aglio Olio,KFC / Taco Bell,30,30,11.5
Polenta,Stripes Store #2276,30,30,8.5
Isaan soup,Sonic Drive-in (trailer),110,110,11.0
Oyster omelette,Jimmy Johns,70,70,4.0
Wanton mee,Nick's Burgers,90,90,10.5
Natto,Spangles,40,40,8.0
Coconut milk curry,Mayfair Boardwalk Grill,40,40,9.5
Apple pie,Chuck Wagon,90,90,8.0
Goi cuon,Jersey Mike's Subs,100,100,11.0
Tacos al pastor,St Louis Original Hamburgers,70,70,4.0
Gado gado,Hegenburgers,50,50,3.5
Gogigui,Redbox,50,50,3.0
Spaghetti Bolognese,Twisters,50,50,9.5
Noodles,Northeastern State University,90,90,3.0
Fish stew,Toppers Pizza,40,40,3.0
Bhajji,Popeye's Chicken & Biscuits,30,30,5.5
Spring rolls,Baker's Drive Thru,80,80,8.5
Tostadas,Music City Subs,50,50,4.0
Oyster omelette,The Honeybaked Ham Company,60,60,9.0
Hot and sour soup,Carl's Jr. / Green Burrito,30,30,11.0
Soto,Hot Dog On A Stick,30,30,5.0
Cantonese chicken soup,Backyard Burgers,110,110,4.0
Laksa,Amigos/Kings Classic,50,50,11.5
Steak,Mcdonalds,70,70,10.0
Nasi goreng,BLIMPIE,80,80,9.0
Palak paneer,Rubio's Coastal Grill,40,40,6.0
Banh xeo,Bob Evans,70,70,8.0
Kimchi stew,Pizza Express,30,30,5.0
Hot and sour soup,BGR - The Burger Joint,100,100,6.5
Donburi,Jimmy Johns,110,110,10.0
Chilaquiles,A&w Restaurant,90,90,5.0
Bak chor mee,Burger's Landing,90,90,4.5
Steak,The Pita Pit,40,40,3.0
Polenta,Breadeaux Pizza,90,90,3.0
Fish stew,Hot Dog on a Stick,80,80,11.0
Spaghetti Bolognese,Frugal's,90,90,7.5
Fish kidney curry,Topper's Pizza,110,110,10.5
Tamales,L&L Hawaiian Barbecue,60,60,7.5
Ramyeon,Subway Sandwiches and Salads,50,50,12.0
Sushi,Great Steak,90,90,6.5
Sour soup,Tommy's Sub Shop,80,80,5.0
Green curry chicken,Convergence Zone,90,90,3.5
Isaan soup,SUBWAY,90,90,10.0
Banh khot,Ivar's Seafood Bar,50,50,9.0
Sashimi,D'angelo Grilled Sandwiches,110,110,12.0
Fried carrot cake,OMG! Rotisserie,110,110,6.5
Chocolate chip cookie,Burger King Salou,60,60,12.0
Naan,Wienerschnitzel,100,100,10.0
Macaroni and Cheese,Baja Fresh Mexican Grill,50,50,8.0
Papdi chaat,Taco Cabana,30,30,5.0
Tostadas,Taco Bueno,70,70,8.0
Spaghetti Aglio Olio,Einstein Bros Bagels,70,70,3.0
Ossobuco,Travelcenters of America,110,110,8.0
Beef soup,Brixton's,90,90,5.0
Apple pie,Twisters,50,50,11.5
Pho,Hotdoks,30,30,3.5
Fish kidney curry,Quick,30,30,10.5
Rujak cingur,SONIC Drive-In,90,90,8.0
Nem ran,Back Yard Burgers,50,50,6.5
Bhajji,The Agora,70,70,10.5
Ramyeon,Baskin-Robbins,20,20,3.5
Bun bo hue,Chicken House,110,110,9.5
French fries,Domino's Pizza,20,20,3.0
Boiled vegetable soup,JCW's,80,80,5.5
Ribollita,Mickey's Gyros & Ribs,100,100,5.0
Ossobuco,Aw Restaurant,90,90,9.5
Szechwan chilli chicken,Penn Station East Coast Subs,30,30,10.5
Chicken tikka masala,Rubio's Coastal Grill,30,30,7.5
Thai hanglay curry,The Press Club,60,60,10.0
Chocolate chip cookie,Round Table Pizza,90,90,11.5
Sichuan pork,Fosters Freeze,20,20,4.0
Fish kidney curry,Taco del Mar,110,110,7.5
Spaghetti Aglio Olio,B Z Breakfast Burgers Beyond,20,20,9.5
Fried chicken,Pacific Rim,90,90,9.5
Szechwan chilli chicken,Bob Evans Restaurant,110,110,9.0
Nem ran,L&L Hawaiian Barbecue,40,40,9.0
Ayam goreng,Popeyes Chicken & Biscuits,90,90,3.5
Tofu,Ziti's Italian Express,100,100,8.0
Laksa,Saladworks,100,100,5.5
Isaan soup,DQ Woodlands,70,70,12.0
Pork bulgogi,Ivar's Seafood Bar,50,50,8.5
Tamales,Yum Brands Inc,90,90,5.0
Tostadas,Woody's Sloppy Dogs,110,110,7.5
Sundubu jjigae,Checkers,40,40,3.0
Chicken rice,White Manna Hamburgers,60,60,4.0
Udon,Pollo Campero,80,80,9.5
Chicken rice,Great Steak And Potato Co,40,40,8.5
Steak,White Castle,50,50,6.0
Bakso,Lee's Famous Recipe Chicken,30,30,6.5
Mole,Peking Wok,50,50,10.5
Spicy stir fried octopus,Capt Crab's Take-Away,20,20,12.0
French fries,DQ Grill & Chill,30,30,4.5
Ga tan,SONIC Drive-In,90,90,9.5
Doughnut,Pick Up Stix,100,100,5.0
Thai hanglay curry,Custard Hut & Pizza,50,50,7.5
Stir fried tofu with rice,Checker's,90,90,11.0
Sundubu jjigae,Hot Dog Heaven,100,100,6.5
Spicy stir fried octopus,Fosters Freeze,70,70,11.0
Korma,Fazoli's,70,70,6.0
Hokkien prawn mee,Bob Evans Restaurant,70,70,3.5
Boiled vegetable soup,Mc Donald's,60,60,8.0
Fish kidney curry,Mcalister's Deli,50,50,6.5
Ossobuco,Subway Sandwiches and Salads,110,110,5.5
Pozole,Rapid Ray's,20,20,11.0
Soto,Tom's Drive In,40,40,6.5
Gado gado,Mr. Hero,70,70,7.5
Thai hanglay curry,Papa John's Pizza,100,100,4.0
Cheeseburger,Long John Silver's / A&W,110,110,6.0
Goi cuon,Fazoli's,70,70,3.5
Spaghetti Carbonara,KFC / Taco Bell,110,110,12.0
Spaghetti Aglio Olio,Cypress Best,60,60,4.5
Sushi,Culvers,50,50,12.0
Cantonese chicken soup,Nick's Burgers,40,40,12.0
Chicken wings,Wingstop,110,110,11.5
